제품번호|제품명|최저가|최고가|브랜드|메이커|제품링크|용량|메모리방식|동작속도|용도|전압|램타이밍(tRAS)|램타이밍(tRP)|램타이밍(tRCD)|램타이밍(CL)|XMP|방열판|메모리 규격|LED|LED제어시스템|LED동기화
82093875277|삼성 DDR4 <b>8G</b> PC4 21300 / 25600 데스크탑 메모리 <b>램</b> 2666 MHz / 3200MHz|44500||삼성|삼성전자|https://search.shopping.naver.com/catalog/82093875277|||||||||||||||
83131715202|삼성 DDR4 <b>8G</b> 16G 32G 4G PC4 25600 3200 21300 2666 19200 데스크탑램 메모리|24500||삼성|삼성전자|https://search.shopping.naver.com/catalog/83131715202|||||||||||||||
22433596274|삼성전자 삼성 노트북 DDR4 PC4-25600|23000||삼성|삼성전자|https://search.shopping.naver.com/catalog/22433596274|32GB|DDR4|3,200MHz(PC4-25,600)|노트북용(SO-DIMM)|||||||||||
29984738618|앱코 DDR4 PC4-25600 CL16 AGM R10 화이트|42000||앱코|앱코|https://search.shopping.naver.com/catalog/29984738618|8GB|DDR4|3,200MHz(PC4-25,600)|데스크탑용(DIMM)|1.35V|38|20|20|16||||||
82401564920|삼성정품 DDR4 4G <b>8G</b> 16G 3200 2666 2400 Mhz 노트북 메모리 <b>램</b>|28500||삼성|삼성전자|https://search.shopping.naver.com/catalog/82401564920|||||||||||||||
82280523260|<b>램8기가</b> DDR3 PC3-10600 /12800 / PC4-19200 / 21300 새상품|29800||SOUTH BRIDGE|에스비피씨파크|https://search.shopping.naver.com/catalog/82280523260|||||||||||||||
18750947392|삼성전자 삼성 DDR4 PC4-21300|24400||삼성|삼성전자|https://search.shopping.naver.com/catalog/18750947392|4GB|DDR4|2,666MHz(PC4-21,300)|데스크탑용(DIMM)|||||||||||
82458631743|삼성 칩 DDR3 8GB PC3-12800 노트북 <b>램 8기가</b> PC3L 12800 메모리|31800||SOUTH BRIDGE|에스비피씨파크|https://search.shopping.naver.com/catalog/82458631743|||||||||||||||
24948779526|삼성전자 삼성 DDR4 25600 SAM|38020||삼성|삼성전자|https://search.shopping.naver.com/catalog/24948779526||DDR4|||||||||||||
83317514945|삼성 DDR4 <b>8G</b> 16G 32G 4G PC4 2133 2400 2666 3200 데스크탑 <b>램</b> 메모리|24900||삼성|삼성전자|https://search.shopping.naver.com/catalog/83317514945|||||||||||||||
