제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,메모리 종류,메모리,메모리 대역폭,단자,부가기능,보조전원,구성품,길이,높이,쿠다 프로세서,권장파워,소비전력,인터페이스,칩셋,냉각방식,쿨러,메모리클럭,부스트클럭,무상AS,부스트,LED제어시스템,속도,용도
27313935527,MSI 지포스 <b>RTX 3060</b> 게이밍 X D6 12GB 트윈프로져8,899000,,MSI,MSI,https://search.shopping.naver.com/catalog/27313935527,GDDR6,12GB,192bit,DisplayPort(3개),모니터4대연결,8+6핀,휨방지가이드(백플레이트),27.6cm,2.5슬롯,,,,,,,,,,,,,,
28656064557,MSI 지포스 <b>RTX 3060</b> Ti 게이밍 X D6 8GB 트윈프로져8 LHR,1038950,,MSI,MSI,https://search.shopping.naver.com/catalog/28656064557,GDDR6,8GB,256bit,DisplayPort(3개),모니터4대연결,8+6핀,휨방지가이드,27.8cm,2.5슬롯,4864개,600W,220W,,,,,,,,,,,
27299402526,이엠텍 지포스 <b>RTX 3060</b> Ti STORM X Dual OC D6 8GB,1059780,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/27299402526,GDDR6,8GB,256bit,HDMI(1개),5K해상도지원,8핀,,247mm,,4864개,,최대 200W,PCI-Express4.0(x16),지포스 RTX 3060 Ti,히트파이프 방열판(무소음),팬(2개),14000MHz,,,,,,
82765216462,컬러풀 기가바이트 <b>RTX 3060</b> / 3070 TI / 3050 / 3080 / 3080 Ti / 3090 그래픽카드,1050000,,컬러풀,컬러풀,https://search.shopping.naver.com/catalog/82765216462,,,,,,,,,,,,,,,,,,,,,,,
27715506529,기가바이트 <b>RTX 3060</b> EAGLE OC V2 D6 12GB 제이씨현,814000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/27715506529,,,,,,,,,,,,,,,,,,,,,,,
28285178555,조텍 GAMING 지포스 <b>RTX 3060</b> TWIN Edge OC D6 12GB LHR,876850,,조텍,조텍,https://search.shopping.naver.com/catalog/28285178555,GDDR6,12GB,192bit,HDMI(1개),모니터4대연결,8핀,백플레이트,224.1mm,2슬롯,3584개,600W,170W,PCI-Express4.0(x16),지포스 RTX 3060,,아이스스톰,15000,1807MHz,3년,,,,
