제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,메모리 종류,메모리,메모리 대역폭,단자,부가기능,보조전원,구성품,길이,높이,쿠다 프로세서,권장파워,소비전력,인터페이스,칩셋,냉각방식,쿨러,메모리클럭,부스트클럭,무상AS,부스트,LED제어시스템,속도,용도
83536798160,AMD <b>5600X</b> 멀티팩 + ASUS PRO A520M-C 세트,326000,,AMD,AMD,https://search.shopping.naver.com/catalog/83536798160,,,,,,,,,,,,,,,,,,,,,,,
30353323477,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),479860,,AMD,,https://search.shopping.naver.com/catalog/30353323477,,,,,,,,,,,,,,,,,,,,,,,
29232558457,AMD 라이젠 R5 <b>5600X</b> (멀티팩) 버미어,281980,,,AMD,https://search.shopping.naver.com/catalog/29232558457,,,,,,,,,,,,,,,,,,,,,,,
28013662722,AMD 라이젠5-4세대 <b>5600X</b> 멀티팩,359000,,,,https://search.shopping.naver.com/catalog/28013662722,,,,,,,,,,,,,,,,,,,,,,,
29203965984,라이젠5 AMD 라이젠5-4세대 <b>5600X</b> (버미어) (정품)////,360800,,,,https://search.shopping.naver.com/catalog/29203965984,,,,,,,,,,,,,,,,,,,,,,,
30592735406,AMD 라이젠5 <b>5600X</b> 버미어 CPU AMD(정품/멀티팩),295680,,,,https://search.shopping.naver.com/catalog/30592735406,,,,,,,,,,,,,,,,,,,,,,,
29206716424,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (정품)////,330000,,,,https://search.shopping.naver.com/catalog/29206716424,,,,,,,,,,,,,,,,,,,,,,,
30692490350,AMD 라이젠 5 4세대 <b>5600X</b> 버미어 멀티팩,279770,,,,https://search.shopping.naver.com/catalog/30692490350,,,,,,,,,,,,,,,,,,,,,,,
29828483712,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩) YS,332550,,,,https://search.shopping.naver.com/catalog/29828483712,,,,,,,,,,,,,,,,,,,,,,,
30035343660,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),357980,,AMD,엑토,https://search.shopping.naver.com/catalog/30035343660,,,,,,,,,,,,,,,,,,,,,,,
30466523030,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩(프리즘팩)),269000,,AMD,AMD,https://search.shopping.naver.com/catalog/30466523030,,,,,,,,,,,,,,,,,,,,,,,
83536795656,AMD <b>5600X</b> 멀티팩 + ASUS PRIME B550M-A 대원CTS 세트,407000,,AMD,AMD,https://search.shopping.naver.com/catalog/83536795656,,,,,,,,,,,,,,,,,,,,,,,
29828186688,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩) YS,351040,,,,https://search.shopping.naver.com/catalog/29828186688,,,,,,,,,,,,,,,,,,,,,,,
83366391365,AMD 라이젠 5 <b>5600X</b> 6-core,415000,,AMD,AMD,https://search.shopping.naver.com/catalog/83366391365,,,,,,,,,,,,,,,,,,,,,,,
83437666556,JG AMD 라이젠 5세대 라이젠 R5 <b>5600X</b> 5600G 가성비 CPU,578700,,,,https://search.shopping.naver.com/catalog/83437666556,,,,,,,,,,,,,,,,,,,,,,,
29134422092,(포)AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),286950,,AMD,,https://search.shopping.naver.com/catalog/29134422092,,,,,,,,,,,,,,,,,,,,,,,
30486485885,AMD 라이젠5 <b>5600X</b> 버미어 CPU AMD(정품/멀티팩),295000,,,,https://search.shopping.naver.com/catalog/30486485885,,,,,,,,,,,,,,,,,,,,,,,
30635689427,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),291210,,AMD,,https://search.shopping.naver.com/catalog/30635689427,,,,,,,,,,,,,,,,,,,,,,,
28846180171,AMD 라이젠5-4세대 <b>5600X</b> (버미어)(멀티팩(프리즘팩)),266960,,,,https://search.shopping.naver.com/catalog/28846180171,,,,,,,,,,,,,,,,,,,,,,,
29086813922,(아이코다) AMD 라이젠 R5 <b>5600X</b> 프리즘쿨러 (멀티팩) 버미어,285000,,,,https://search.shopping.naver.com/catalog/29086813922,,,,,,,,,,,,,,,,,,,,,,,
29219316502,(포)라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩(프리즘팩),269140,,AMD,,https://search.shopping.naver.com/catalog/29219316502,,,,,,,,,,,,,,,,,,,,,,,
30778395663,라이젠5 AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩)-TZ,277240,,,,https://search.shopping.naver.com/catalog/30778395663,,,,,,,,,,,,,,,,,,,,,,,
30433927057,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),500000,,AMD,AMD,https://search.shopping.naver.com/catalog/30433927057,,,,,,,,,,,,,,,,,,,,,,,
30087256964,[AMD] AMD 라이젠5 <b>5600X</b> 버미어 CPU (정품/멀티팩),313200,,AMD,,https://search.shopping.naver.com/catalog/30087256964,,,,,,,,,,,,,,,,,,,,,,,
30594556949,AMD 라이젠 <b>5600X</b> 5-4세대 버미어 멀티팩,317660,,,,https://search.shopping.naver.com/catalog/30594556949,,,,,,,,,,,,,,,,,,,,,,,
29734930769,라이젠 AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),550000,,,AMD,https://search.shopping.naver.com/catalog/29734930769,,,,,,,,,,,,,,,,,,,,,,,
82785326652,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),280310,,AMD,AMD,https://search.shopping.naver.com/catalog/82785326652,,,,,,,,,,,,,,,,,,,,,,,
82863659639,AMD 라이젠 <b>5600X</b> 버미어 멀티팩 쿨러포함,420000,,AMD,AMD,https://search.shopping.naver.com/catalog/82863659639,,,,,,,,,,,,,,,,,,,,,,,
30889934151,AMD 라이젠 5 <b>5600X</b> 버미어 멀티팩 정품,480000,,AMD,,https://search.shopping.naver.com/catalog/30889934151,,,,,,,,,,,,,,,,,,,,,,,
30889832444,AMD 라이젠 5 <b>5600X</b> 버미어 멀티팩 CPU,480000,,AMD,,https://search.shopping.naver.com/catalog/30889832444,,,,,,,,,,,,,,,,,,,,,,,
30879905708,라이젠5 AMD 라이젠 <b>5600X</b> 멀티팩,303600,,,,https://search.shopping.naver.com/catalog/30879905708,,,,,,,,,,,,,,,,,,,,,,,
30879938724,AMD 라이젠 <b>5600X</b> 멀티팩,303600,,,,https://search.shopping.naver.com/catalog/30879938724,,,,,,,,,,,,,,,,,,,,,,,
30837349465,[AMD]AMD 라이젠5 <b>5600X</b> 버미어 CPU (정품/멀티팩),385870,,AMD,,https://search.shopping.naver.com/catalog/30837349465,,,,,,,,,,,,,,,,,,,,,,,
30591489544,AMD 라이젠 5 <b>5600X</b> 버미어 멀티팩,480000,,AMD,,https://search.shopping.naver.com/catalog/30591489544,,,,,,,,,,,,,,,,,,,,,,,
30754911661,amd new ryzen 5 <b>5600x</b> r5 <b>5600x</b> cpu 프로세서 데스크,527700,,,,https://search.shopping.naver.com/catalog/30754911661,,,,,,,,,,,,,,,,,,,,,,,
30754901719,amd new ryzen 5 <b>5600x</b> r5 <b>5600x</b> cpu 프로세서 데스크,463400,,,,https://search.shopping.naver.com/catalog/30754901719,,,,,,,,,,,,,,,,,,,,,,,
28792238611,AMD 라이젠5-4세대 <b>5600X</b> 프리즘팩,359000,,,,https://search.shopping.naver.com/catalog/28792238611,,,,,,,,,,,,,,,,,,,,,,,
30712375547,라이젠 AMD 100 - 100000065 BOX Ryzen 5 <b>5600X</b>,594910,,,,https://search.shopping.naver.com/catalog/30712375547,,,,,,,,,,,,,,,,,,,,,,,
28682082578,에이엠디 AMD 라이젠5-4세대 <b>5600X</b> (버미어)(멀티팩(프리즘팩)),267110,,AMD,AMD,https://search.shopping.naver.com/catalog/28682082578,,,,,,,,,,,,,,,,,,,,,,,
27231402076,DK AMD <b>5600X</b> (버미어) (멀티팩),278070,,,,https://search.shopping.naver.com/catalog/27231402076,,,,,,,,,,,,,,,,,,,,,,,
30693497273,AMD CPU 라이젠 5 <b>5600X</b> 버미어 멀티팩,307590,,AMD,,https://search.shopping.naver.com/catalog/30693497273,,,,,,,,,,,,,,,,,,,,,,,
30690672080,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),275400,,AMD,AMD,https://search.shopping.naver.com/catalog/30690672080,,,,,,,,,,,,,,,,,,,,,,,
28725911041,AMD 라이젠5-4세대 <b>5600X</b> 스페셜 프리즘쿨러포함,269040,,AMD,AMD,https://search.shopping.naver.com/catalog/28725911041,,,,,,,,,,,,,,,,,,,,,,,
29205966033,AMD 라이젠5-4세대 <b>5600X</b> (버미어)(멀티팩(프리즘팩)),267650,,,,https://search.shopping.naver.com/catalog/29205966033,,,,,,,,,,,,,,,,,,,,,,,
30592146221,AMD 라이젠 R5 <b>5600X</b> (멀티팩) 버미어,285000,,,AMD,https://search.shopping.naver.com/catalog/30592146221,,,,,,,,,,,,,,,,,,,,,,,
30592134401,AMD 라이젠 R5 <b>5600X</b> (멀티팩) 버미어,285000,,,AMD,https://search.shopping.naver.com/catalog/30592134401,,,,,,,,,,,,,,,,,,,,,,,
30591427438,AMD 라이젠 5 <b>5600X</b> 버미어 멀티팩,328610,,AMD,,https://search.shopping.naver.com/catalog/30591427438,,,,,,,,,,,,,,,,,,,,,,,
30544971310,[AMD ] AMD 라이젠5 <b>5600X</b> 버미어 CPU (정품/멀티팩),410500,,AMD,AMD,https://search.shopping.naver.com/catalog/30544971310,,,,,,,,,,,,,,,,,,,,,,,
30244255104,(밀알) AMD 라이젠5-4세대 <b>5600X</b> 버미어 (프리즘팩),296660,,AMD,AMD,https://search.shopping.naver.com/catalog/30244255104,,,,,,,,,,,,,,,,,,,,,,,
30846083672,AMD  라이젠5 <b>5600X</b> 버미어 CPU (정품/멀티팩),381770,,,,https://search.shopping.naver.com/catalog/30846083672,,,,,,,,,,,,,,,,,,,,,,,
30617444929,AMD 라이젠5  <b>5600X</b> (버미어) (멀티팩) -YC,286760,,AMD,AMD,https://search.shopping.naver.com/catalog/30617444929,,,,,,,,,,,,,,,,,,,,,,,
28852282780,AMD 라이젠5-4세대 <b>5600X</b> (버미어)(멀티팩(프리즘팩)),266950,,,,https://search.shopping.naver.com/catalog/28852282780,,,,,,,,,,,,,,,,,,,,,,,
30276342031,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (벌크),283930,,,,https://search.shopping.naver.com/catalog/30276342031,,,,,,,,,,,,,,,,,,,,,,,
30735847364,AMD 라이젠5 4세대 <b>5600X</b>  버미어   벌크 - 정품,345760,,AMD,,https://search.shopping.naver.com/catalog/30735847364,,,,,,,,,,,,,,,,,,,,,,,
29219880484,DK 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩(프리즘팩),267100,,,,https://search.shopping.naver.com/catalog/29219880484,,,,,,,,,,,,,,,,,,,,,,,
83550601781,AMD <b>5600X</b> 프리즘쿨러 + ASUS TUF B550 PLUS 대원CTS 세트,457000,,AMD,AMD,https://search.shopping.naver.com/catalog/83550601781,,,,,,,,,,,,,,,,,,,,,,,
82757091757,AMD 라이젠 R5 <b>5600X</b> (멀티팩) 버미어,285000,,,,https://search.shopping.naver.com/catalog/82757091757,,,,,,,,,,,,,,,,,,,,,,,
30727249980,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩)-TZ2,288740,,,,https://search.shopping.naver.com/catalog/30727249980,,,,,,,,,,,,,,,,,,,,,,,
29404675320,AMD <b>5600X</b> (버미어)(멀티팩)(정품),319680,,에이치엠티,AMD,https://search.shopping.naver.com/catalog/29404675320,,,,,,,,,,,,,,,,,,,,,,,
30044853629,Ryzen <b>5600X</b> 용 새로운 AMD 오리지널 CPU,901820,,,,https://search.shopping.naver.com/catalog/30044853629,,,,,,,,,,,,,,,,,,,,,,,
83627423016,정품(멀티팩) AMD 라이젠5 버미어 <b>5600X</b>,480000,,AMD,AMD,https://search.shopping.naver.com/catalog/83627423016,,,,,,,,,,,,,,,,,,,,,,,
30005427287,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (벌크),365338,,,AMD,https://search.shopping.naver.com/catalog/30005427287,,,,,,,,,,,,,,,,,,,,,,,
30005376784,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (벌크),365338,,,AMD,https://search.shopping.naver.com/catalog/30005376784,,,,,,,,,,,,,,,,,,,,,,,
30003003389,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (벌크),353930,,,,https://search.shopping.naver.com/catalog/30003003389,,,,,,,,,,,,,,,,,,,,,,,
29549285929,AMD 라이젠5-4세대 <b>5600X</b> (버미어)멀티팩,286440,,,AMD,https://search.shopping.naver.com/catalog/29549285929,,,,,,,,,,,,,,,,,,,,,,,
83524746418,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (벌크),286830,,AMD,AMD,https://search.shopping.naver.com/catalog/83524746418,,,,,,,,,,,,,,,,,,,,,,,
29926687108,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (벌크),270400,,AMD,AMD,https://search.shopping.naver.com/catalog/29926687108,,,,,,,,,,,,,,,,,,,,,,,
29505835298,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (벌크),369130,,AMD,AMD,https://search.shopping.naver.com/catalog/29505835298,,,,,,,,,,,,,,,,,,,,,,,
29922829749,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),281700,,,AMD,https://search.shopping.naver.com/catalog/29922829749,,,,,,,,,,,,,,,,,,,,,,,
29910532220,AMD 라이젠 5 <b>5600x</b> + MSI Mag Coreliquid 240R,1259750,,AMD,,https://search.shopping.naver.com/catalog/29910532220,,,,,,,,,,,,,,,,,,,,,,,
