제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,메모리 종류,메모리,메모리 대역폭,단자,부가기능,보조전원,구성품,길이,높이,쿠다 프로세서,권장파워,소비전력,인터페이스,칩셋,냉각방식,쿨러,메모리클럭,부스트클럭,무상AS,부스트,LED제어시스템,속도,용도
24903715522,AMD 라이젠 5 <b>5600X</b> 버미어,260820,,AMD,AMD,https://search.shopping.naver.com/catalog/24903715522,,,,,,,,,,,,,,,,,,,,,,,
28665831583,[AMD] 라이젠5 버미어 <b>5600X</b> 스페셜 (프리즘쿨러포함/대리점정품/멀티팩),269000,,AMD,AMD,https://search.shopping.naver.com/catalog/28665831583,,,,,,,,,,,,,,,,,,,,,,,
30778885195,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩)-TZ,260350,,,,https://search.shopping.naver.com/catalog/30778885195,,,,,,,,,,,,,,,,,,,,,,,
28701897322,AMD 라이젠5 버미어 <b>5600X</b> (프리즘쿨러포함/멀티팩) C,259590,,,,https://search.shopping.naver.com/catalog/28701897322,,,,,,,,,,,,,,,,,,,,,,,
28726521476,AMD 라이젠5-4세대 <b>5600X</b> 스페셜 프리즘쿨러포함,266560,,,,https://search.shopping.naver.com/catalog/28726521476,,,,,,,,,,,,,,,,,,,,,,,
82946165588,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩),270000,,AMD,AMD,https://search.shopping.naver.com/catalog/82946165588,,,,,,,,,,,,,,,,,,,,,,,
30074881289,AMD 라이젠5-4세대 <b>5600X</b> (버미어) (멀티팩(프리즘팩),259580,,,,https://search.shopping.naver.com/catalog/30074881289,,,,,,,,,,,,,,,,,,,,,,,
28702479488,AMD 라이젠5 버미어 <b>5600X</b> (프리즘쿨러포함/멀티팩) C,283190,,,,https://search.shopping.naver.com/catalog/28702479488,,,,,,,,,,,,,,,,,,,,,,,
30704895674,AMD 라이젠5 4세대 Ryzen5 CPU <b>5600X</b> (버미어) 멀티팩,282720,,AMD,AMD,https://search.shopping.naver.com/catalog/30704895674,,,,,,,,,,,,,,,,,,,,,,,
28682121314,에이엠디 AMD 라이젠5-4세대 <b>5600X</b> (버미어)(멀티팩(프리즘팩)),266470,,AMD,AMD,https://search.shopping.naver.com/catalog/28682121314,,,,,,,,,,,,,,,,,,,,,,,
