제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,메모리 종류,메모리,메모리 대역폭,단자,부가기능,보조전원,구성품,길이,높이,쿠다 프로세서,권장파워,소비전력,인터페이스,칩셋,냉각방식,쿨러,메모리클럭,부스트클럭,무상AS,부스트,LED제어시스템,속도,용도
28587910554,기가바이트 지포스 <b>RTX 3060</b> Ti Gaming OC PRO V3 D6 8GB 피씨디렉트,1039000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/28587910554,GDDR6,8GB,256bit,DisplayPort(3개),모니터4대연결,,,281mm,,4864개,650W,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,팬(3개),14000MHz,1770MHz,,,RGB FUSION,,
30326244620,MSI GEFORCE <b>RTX 3060</b>,828300,,MSI,MSI,https://search.shopping.naver.com/catalog/30326244620,GDDR6,12GB,192bit,HDMI 2.1(1개),모니터4대연결,,,,,,,,,지포스 RTX 3060,,,15000MHz,1807MHz,,GPU부스트,,,
30803102299,ZOTAC 지포스 <b>RTX3060</b> TWIN Edge OC D6 12G LHR,982330,,조텍,조텍,https://search.shopping.naver.com/catalog/30803102299,,,,,,,,,,,,,,,,,,,,,,,
30575662915,ASUS 지포스 <b>RTX 3060</b> Ti ROG STRIX O8G GAMING OC D6 8GB V2 LHR 그래픽카드 (OverClock),1160000,,,ASUS,https://search.shopping.naver.com/catalog/30575662915,,,,,,,,,,,,,,,,,,,,,,,
27313357528,ASUS TUF Gaming 지포스 <b>RTX 3060</b> O12G OC D6 12GB,999000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/27313357528,GDDR6,12GB,,HDMI(1개),모니터4대연결,8핀,백플레이트,,,3584개,,,PCI-Express4.0(x16),지포스 RTX 3060,,팬(3개),,,,,AURA SYNC,,
82798892451,컬러풀 기가바이트 <b>RTX 3060</b> / 3060 TI / 3070 TI / 3080 그래픽카드,1150000,,컬러풀,컬러풀,https://search.shopping.naver.com/catalog/82798892451,,,,,,,,,,,,,,,,,,,,,,,
28655769558,기가바이트 지포스 <b>RTX 3060</b> Ti EAGLE OC V2 D6 8GB 피씨디렉트,1039000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/28655769558,GDDR6,,,DisplayPort(1개),4K해상도지원,8핀,휨방지가이드(백플레이트),,2슬롯,4864개,600W,,,,,0dB무소음모드,,,,,,,
28356340554,갤럭시 GALAX 지포스 <b>RTX 3060</b> Ti EX OC D6 8GB LHR,1356000,,GALAX,갤럭시,https://search.shopping.naver.com/catalog/28356340554,GDDR6,8GB,256bit,DisplayPort(3개),모니터4대연결,8핀,휨방지가이드(백플레이트),28.5cm,2.5슬롯,4864개,,,,,,,,,,,,,
30511013316,INNO3D MSI <b>RTX 3060</b> Ti 게이밍 X D6 8GB 트윈프로져8 LHR,1055120,,INNO3D,INNO3D,https://search.shopping.naver.com/catalog/30511013316,,,,,,,,,,,,,,,,,,,,,,,
26291310522,조텍 GAMING 지포스 <b>RTX 3060</b> TWIN Edge OC D6 12GB,896000,,조텍,조텍,https://search.shopping.naver.com/catalog/26291310522,GDDR6,12GB,192bit,HDMI(1개),모니터4대연결,8핀,백플레이트,224.1mm,,3584개,600W,170W,PCI-Express4.0(x16),지포스 RTX 3060 Ti,히트파이프 방열판(무소음),아이스스톰,15Gbps,1807MHz,3년,GPU부스트,,,
83360414642,ASUS 지포스 <b>RTX 3060</b> Ti KO O8G V2 GAMING 8GB LHR,1085000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/83360414642,,,,,,,,,,,,,,,,,,,,,,,
28573047554,제이씨현시스템 기가바이트 <b>RTX 3060</b> Ti VISION OC V2 D6 8GB 제이씨현,1089000,,기가바이트,제이씨현시스템,https://search.shopping.naver.com/catalog/28573047554,GDDR6,8GB,256bit,DisplayPort(3개),4K해상도지원,8+6핀,,281mm,2슬롯,4864개,650W,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,제로팬(0-dB기술),14000MHz,1755MHz,,GPU부스트,RGB FUSION,,
28356472554,게인워드 지포스 <b>RTX 3060</b> Ti 고스트 V1 D6 8GB LHR,1015200,,게인워드,게인워드,https://search.shopping.naver.com/catalog/28356472554,GDDR6,,,HDMI 2.1(1개),모니터4대연결,8핀,휨방지가이드(백플레이트),24.7cm|,,,정격 550W 이상,,,,,,,,3년,,,,
27926385524,기가바이트 지포스 <b>RTX 3060</b> Ti EAGLE OC V2 D6 8GB 제이씨현,1050000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/27926385524,GDDR6,8GB,,DisplayPort(1개),4K해상도지원,8핀,휨방지가이드(백플레이트),,2cm(2슬롯),4864개,600w,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,RGBLED,,,3년,,,,
30666827774,GIGABYTE 지포스 <b>RTX 3060</b> Gaming OC V2 D6 12GB 제이씨현,858000,,,,https://search.shopping.naver.com/catalog/30666827774,,,,,,,,,,,,,,,,,,,,,,,
30404462142,GAINWARD GAINWARD 지포스 <b>RTX 3060</b> Ti 고스트 V1 D6 8GB LHR,1012000,,게인워드,게인워드,https://search.shopping.naver.com/catalog/30404462142,,,,,,,,,,,,,,,,,,,,,,,
29192353618,이엠텍 지포스 <b>RTX 3060</b> STORM X Dual OC D6 12GB 디아블로2 레저렉션,1046500,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/29192353618,GDDR6,12GB,192bit,HDMI 2.1(1개),모니터4대연결,8핀,,24.5cm,,3584개,550W,180W,PCI-Express4.0(x16),지포스 RTX 3060,,팬(2개),15000MHz,1837MHz,,GPU부스트,LED,,
30606435714,COLORFUL 지포스 <b>RTX 3060</b> Ti Vulcan OC D6 8GB LHR,1285000,,,컬러풀,https://search.shopping.naver.com/catalog/30606435714,,,,,,,,,,,,,,,,,,,,,,,
30232090382,COLORFUL iGAME <b>RTX 3060</b> Advanced OC D6 12GB LHR,817520,,,,https://search.shopping.naver.com/catalog/30232090382,,,,,,,,,,,,,,,,,,,,,,,
29619431618,ASUS DUAL 지포스 <b>RTX 3060</b> Ti O8G OC MINI D6 8GB,1049000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/29619431618,,8GB,256bit,HDMI 2.1(1개),모니터4대연결,8핀,,200mm,,4864개,750W,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,팬(2개),,1710MHz,,GPU부스트,AURA SYNC,,
27328437522,기가바이트 어로스 지포스 <b>RTX 3060</b> ELITE D6 12GB 제이씨현,967000,,어로스,기가바이트,https://search.shopping.naver.com/catalog/27328437522,GDDR6,12GB,,HDMI(2개),,,,,,3584개,,,PCI-Express4.0(x16),,,,,,,,,,
27328167527,MSI 지포스 <b>RTX 3060</b> 벤투스 2X OC D6 12GB,926000,,MSI,MSI,https://search.shopping.naver.com/catalog/27328167527,GDDR6,12GB,192bit,HDMI(1개),모니터4대연결,8핀,,235X124X42,,3584개,550W,170W,PCI-Express4.0(x16),지포스 RTX 3060,,,15000,1807MHz,,,,,
30627459618,PALIT 지포스 <b>RTX 3060</b> Dual D6 12GB,909000,,PALIT,PALIT,https://search.shopping.naver.com/catalog/30627459618,GDDR6,12GB,192bit,HDMI 2.1(1개),모니터4대연결,8핀,,24.5cm,,3584개,550W,180W,PCI-Express4.0(x16),지포스 RTX 3060,,팬(2개),15000MHz,1772MHz,,GPU부스트,,1320MHz,
83626581702,GIGABYTE 지포스 RTX 2060 UDV V2 D6 6GB 피씨디렉트,680000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/83626581702,,,,,,,,,,,,,,,,,,,,,,,
30431025266,EVGA 지포스 <b>RTX 3060</b> Ti FTW3 ULTRA GAMING D6 8GB LHR,1060660,,,,https://search.shopping.naver.com/catalog/30431025266,,,,,,,,,,,,,,,,,,,,,,,
30546222292,다채로운 지포스 <b>RTX 3060</b> 3070 3080 3060Ti GTX 1660,1859700,,,,https://search.shopping.naver.com/catalog/30546222292,,,,,,,,,,,,,,,,,,,,,,,
27328087524,이엠텍 지포스 <b>RTX 3060</b> Ti BLACK EDITION OC D6 8GB,3000000,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/27328087524,,8GB,,,,,,,,,,,,,,,,,,,,,
30586016624,ASUS KO 지포스 <b>RTX 3060</b> Ti O8G V2 GAMING OC D6 8GB LHR,1107610,,ASUS,ASUS,https://search.shopping.naver.com/catalog/30586016624,GDDR6,8GB,256bit,DisplayPort 1.4(3개),모니터4대연결,8핀,,27.5cm,,4864개,650W,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,팬(2개),,1785MHz,,GPU부스트,AURA SYNC,,
30421443491,<b>RTX3060</b>/ti 그래픽 카드 12G 독립 디스플레이 데스크탑 컴퓨터 게임 독립 그래픽 카드 잠금, 해시 레이트 3060,701100,,,,https://search.shopping.naver.com/catalog/30421443491,,,,,,,,,,,,,,,,,,,,,,,
27314562522,기가바이트 지포스 <b>RTX 3060</b> Gaming OC D6 12GB 제이씨현,909000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/27314562522,GDDR6,12GB,192bit,HDMI(2개),모니터4대연결,,,,,3584개,,,PCI-Express4.0(x16),지포스 RTX 3060,,윈드포스,,,3년,GPU부스트,RGB FUSION,,전문가용
29906494162,지포스 GIGABYTE <b>RTX 3060</b> Ti VISION OC V2 D6 8GB PD -HI,1144000,,,엔비디아,https://search.shopping.naver.com/catalog/29906494162,,,,,,,,,,,,,,,,,,,,,,,
29016144892,EVGA 지포스 <b>RTX 3060</b> Ti XC GAMING D6 8GB LHR ),1012140,,,,https://search.shopping.naver.com/catalog/29016144892,,,,,,,,,,,,,,,,,,,,,,,
30803543194,기가바이트 GIGABYTE 지포스 <b>RTX 3060</b> VISION OC V2 D6 12GB LHR J,830720,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/30803543194,,,,,,,,,,,,,,,,,,,,,,,
83344908130,EVGA 지포스 <b>RTX 3060</b> XC GAMING D6 12GB LHR,920000,,,EVGA,https://search.shopping.naver.com/catalog/83344908130,,,,,,,,,,,,,,,,,,,,,,,
29823228985,Colorful 지포스 <b>RTX 3060</b> Ultra OC D6 12G White LHR,1009500,,컬러풀,컬러풀,https://search.shopping.naver.com/catalog/29823228985,,,,,,,,,,,,,,,,,,,,,,,
28843695589,EVGA 레브가 지포스 <b>RTX 3060</b> XC GAMING D6 12GB,999000,,레브가,EVGA,https://search.shopping.naver.com/catalog/28843695589,GDDR6,12GB,192bit,DisplayPort(3개),모니터4대연결,8핀,휨방지가이드(백플레이트),20.18cm,,3584개,550W,170W,PCI-Express4.0(x16),지포스 RTX 3060,,,15000MHz,,,,,,
30554867267,EVGA <b>RTX 3060</b> Ti FTW3 ULTRA GAMING D6 8GB LHR,1064280,,,,https://search.shopping.naver.com/catalog/30554867267,,,,,,,,,,,,,,,,,,,,,,,
30759961812,다채로운 iGame 그래픽 카드 RTX3080/RTX3070 Ti/<b>RTX3060</b> Ti/GTX 1060,658300,,,UNKNOWN,https://search.shopping.naver.com/catalog/30759961812,,,,,,,,,,,,,,,,,,,,,,,
27378189524,ASUS ROG STRIX 지포스 <b>RTX 3060</b> O12G GAMING OC D6 12GB,1800000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/27378189524,GDDR6,12GB,,HDMI(2개),4K해상도지원,8핀,백플레이트,,,3584개,650W 이상,,PCI-Express4.0(x16),,,팬(3개),,1912MHz,,,AURA SYNC,,
29737178206,새로운 다채로운 Msi Nvidia ROG strix GeForce <b>RTX 3060</b> 3070 3080 3090 3090TI 3060TI 3080TI 3070TI 24G 블랙 화이트,1623700,,,,https://search.shopping.naver.com/catalog/29737178206,,,,,,,,,,,,,,,,,,,,,,,
27300148522,게인워드 지포스 <b>RTX 3060</b> 고스트 OC D6 12GB,909000,,게인워드,게인워드,https://search.shopping.naver.com/catalog/27300148522,GDDR6,12GB,192bit,HDMI(1개),4K해상도지원,8핀,,,,,,,PCI-Express4.0(x16),지포스 RTX 3060,,,,1882MHz,,,,,
83746058887,ASUS TUF Gaming 지포스 <b>RTX 3060</b> V2 D6 12GB,960000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/83746058887,,,,,,,,,,,,,,,,,,,,,,,
30690762417,ASUS ROG STRIX <b>RTX 3060</b> O12G GAMING OC D6 12GB,988990,,ASUS,,https://search.shopping.naver.com/catalog/30690762417,,,,,,,,,,,,,,,,,,,,,,,
28030755164,GIGABYTE <b>RTX 3060</b> VISION OC V2 D6 12GB 제이씨현 -JM,1056000,,,,https://search.shopping.naver.com/catalog/28030755164,,,,,,,,,,,,,,,,,,,,,,,
29658155285,GAINWARD GeForce <b>RTX3060</b> GHOST 12G GDDR6 그래픽 보드 NE63060019K9-190AU-G VD7555,689500,,,,https://search.shopping.naver.com/catalog/29658155285,,,,,,,,,,,,,,,,,,,,,,,
30804139631,이엠텍 지포스 <b>RTX 3060</b> STORM X Dual OC D6 12GB LHR /K,935690,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/30804139631,,,,,,,,,,,,,,,,,,,,,,,
30852284046,COLORFUL <b>RTX 3060</b> 토마호크 DUO V2 D6 12GB LHR,808720,,,,https://search.shopping.naver.com/catalog/30852284046,,,,,,,,,,,,,,,,,,,,,,,
30801958087,GIGABYTE AORUS 지포스 <b>RTX 3060</b> ELITE V2 D6 12GB PCD,857120,,,,https://search.shopping.naver.com/catalog/30801958087,,,,,,,,,,,,,,,,,,,,,,,
83010533830,EVGA 지포스 <b>RTX 3060</b> XC GAMING LHR,892000,,,EVGA,https://search.shopping.naver.com/catalog/83010533830,,,,,,,,,,,,,,,,,,,,,,,
30645060750,갤럭시 GALAX 지포스 <b>RTX 3060</b> Ti EX WHITE OC D6 8GB LHR,1243000,,GALAX,갤럭시,https://search.shopping.naver.com/catalog/30645060750,,,,,,,,,,,,,,,,,,,,,,,
83209981283,DK 리드텍 WinFast <b>RTX 3060</b> HURRICANE WHITE D6 12GB,932040,,,,https://search.shopping.naver.com/catalog/83209981283,,,,,,,,,,,,,,,,,,,,,,,
28669599556,기가바이트 지포스 <b>RTX 3060</b> Ti Gaming OC V2 D6 8GB 제이씨현,1151850,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/28669599556,GDDR6,8GB,256bit,HDM1 2.1(2개),4K해상도지원,8핀,,28.2cm,,4864개,600W,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,팬(3개),14000MHz,1740MHz,,GPU부스트,RGB FUSION,,
29737187152,Gpu MSI NVIDIA GeForce <b>RTX 3060</b> 3070 3080 3090 3060TI 3080TI 3090TI GAMING TRIO 8GB 그래픽 카드AMPERE 아키텍,1565000,,,,https://search.shopping.naver.com/catalog/29737187152,,,,,,,,,,,,,,,,,,,,,,,
27892705524,ASUS KO <b>RTX 3060</b> O12G GAMING OC D6 12GB,1799950,,ASUS,ASUS,https://search.shopping.naver.com/catalog/27892705524,GDDR6,12GB,192bit,DisplayPort(3개),,8핀,휨방지가이드(백플레이트),27.5cm,,3584개,,170w,PCI-Express4.0(x16),지포스 RTX 3060,,,,,,,AURA SYNC,,
30706646906,에브가 EVGA 지포스 <b>RTX 3060</b> Ti XC GAMING D6 8GB LHR 正品,1014640,,,,https://search.shopping.naver.com/catalog/30706646906,,,,,,,,,,,,,,,,,,,,,,,
83195812714,[HY] ASUS DUAL 지포스 <b>RTX 3060</b> O12G V2 ( 채굴락 버젼 ),869000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/83195812714,,,,,,,,,,,,,,,,,,,,,,,
28412279715,GIGABYTE <b>RTX 3060</b> VISION OC V2 D6 12GB 제이씨현 -JM,1056000,,,,https://search.shopping.naver.com/catalog/28412279715,,,,,,,,,,,,,,,,,,,,,,,
29693565618,PNY <b>RTX 3060</b> UPRISING D6 12GB Dual 마이크로닉스,1089920,,PNY,PNY,https://search.shopping.naver.com/catalog/29693565618,GDDR6,12GB,192bit,HDMI 2.1(1개),모니터4대연결,8핀,,25.8cm,,3584개,550W,170W,PCI-Express4.0(x16),지포스 RTX 3060,,팬(2개),,1770MHz,,GPU부스트,,1320MHz,
30356449609,이엠텍 지포스 <b>RTX 3060</b> Ti STORM X Dual OC D6 8GB LHR,1037520,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/30356449609,,,,,,,,,,,,,,,,,,,,,,,
30801954429,기가바이트 GIGABYTE AORUS 지포스 <b>RTX 3060</b> ELITE V2 D6 12GB PCD,857120,,,,https://search.shopping.naver.com/catalog/30801954429,,,,,,,,,,,,,,,,,,,,,,,
30728293537,GIGABYTE 지포스 <b>RTX 3060</b> EAGLE V2 D6 12GB 제이씨현,850000,,,,https://search.shopping.naver.com/catalog/30728293537,,,,,,,,,,,,,,,,,,,,,,,
83260280210,GIGABYTE 지포스 <b>RTX 3060</b> VISION OC V2 D6 12GB 제이씨현,886000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/83260280210,,,,,,,,,,,,,,,,,,,,,,,
28828530619,지포스 <b>RTX3060</b> Ti Gaming OC V2 D6 8GB 피씨디렉트 CR,1058400,,,,https://search.shopping.naver.com/catalog/28828530619,,,,,,,,,,,,,,,,,,,,,,,
83627842420,GIGABYTE 지포스 <b>RTX 3060</b> VISION OC V2 D6 12GB 피씨디렉트,930000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/83627842420,,,,,,,,,,,,,,,,,,,,,,,
30526673644,EVGA 지포스 <b>RTX 3060</b> XC GAMING D6 12GB LHR,855000,,,EVGA,https://search.shopping.naver.com/catalog/30526673644,,,,,,,,,,,,,,,,,,,,,,,
83427071564,GIGABYTE AORUS 지포스 RTX 3090 Master V2 D6X 24GB 제이씨현,4300000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/83427071564,,,,,,,,,,,,,,,,,,,,,,,
27715810522,ASUS <b>RTX 3060</b> O12G OC D6 12GB,1352460,,ASUS,ASUS,https://search.shopping.naver.com/catalog/27715810522,,12GB,,,,,,,,,,,,,,,,,,,,,
25152656523,갤럭시 <b>RTX 3060</b> Ti EX BLACK OC D6 8GB,1356000,,갤럭시,갤럭시,https://search.shopping.naver.com/catalog/25152656523,,,,DisplayPort(3개),,8핀,휨방지가이드(백플레이트),,,4864개,정격 550W 이상,220,PCI-Express4.0(x16),,,,,,,,,,
83283413038,COLORFUL iGAME 지포스 <b>RTX 3060</b> Advanced OC D6 12GB LHR,1700000,,컬러풀,컬러풀,https://search.shopping.naver.com/catalog/83283413038,,,,,,,,,,,,,,,,,,,,,,,
30667099238,GIGABYTE 지포스 <b>RTX 3060</b> Ti Gaming OC V2 D6 8GB 제이씨현,1079000,,,,https://search.shopping.naver.com/catalog/30667099238,,,,,,,,,,,,,,,,,,,,,,,
30575591959,컬러풀 지포스 <b>RTX 3060</b> iGAME Ultra OC D6 12GB White V2 LHR 그래픽카드,892000,,,컬러풀,https://search.shopping.naver.com/catalog/30575591959,,,,,,,,,,,,,,,,,,,,,,,
30852906995,DK GAINWARD 지포스 <b>RTX 3060</b> 고스트 D6 12GB LHR,937550,,,,https://search.shopping.naver.com/catalog/30852906995,,,,,,,,,,,,,,,,,,,,,,,
30666955873,GIGABYTE 지포스 <b>RTX 3060</b> Ti VISION OC V2 D6 8GB 제이씨현,1089000,,,,https://search.shopping.naver.com/catalog/30666955873,,,,,,,,,,,,,,,,,,,,,,,
30631032364,컬러풀 iGAME <b>RTX 3060</b> Advanced OC D6 12GB LHR,817520,,,,https://search.shopping.naver.com/catalog/30631032364,,,,,,,,,,,,,,,,,,,,,,,
28356492555,갤럭시 지포스 <b>RTX 3060</b> Ti EX WHITE OC D6 8GB LHR,1290000,,갤럭시,갤럭시,https://search.shopping.naver.com/catalog/28356492555,GDDR6,8GB,256bit,,모니터4대연결,8핀,휨방지가이드(백플레이트),:28.5cm,2.5슬롯,,정격 550W 이상,220w,,,,,,,3년,,,,
83662018600,컬러풀 iGAME 지포스 <b>RTX 3060</b> Ti Advanced OC D6 8GB LHR,1158000,,컬러풀,컬러풀,https://search.shopping.naver.com/catalog/83662018600,,,,,,,,,,,,,,,,,,,,,,,
30736151812,이엠텍 이엠텍 지포스 <b>RTX 3060</b> Ti STORM X Dual OC D6 8GBYS,1045390,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/30736151812,,,,,,,,,,,,,,,,,,,,,,,
30744139051,GAINWARD 지포스 <b>RTX 3060</b> Ti 고스트 V1 D6 8GB LHR,1010380,,게인워드,,https://search.shopping.naver.com/catalog/30744139051,,,,,,,,,,,,,,,,,,,,,,,
30515559534,ASUS ROG STRIX 지포스 <b>RTX 3060</b> Ti O8G GAMING OC D6 8GB LHR,1117300,,,ASUS,https://search.shopping.naver.com/catalog/30515559534,,,,,,,,,,,,,,,,,,,,,,,
29192297619,ASUS PH 지포스 <b>RTX 3060</b> D6 12GB,950000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/29192297619,GDDR6,12GB,192bit,HDMI 2.1(1개),모니터4대연결,8핀,,17.7cm,,3584개,650W,,PCI-Express4.0(x16),지포스 RTX 3060,,,,1870MHz,,GPU부스트,,,
27715591525,INNO3D <b>RTX 3060</b> Ti D6 8GB X3 RED,1144500,,INNO3D,INNO3D,https://search.shopping.naver.com/catalog/27715591525,,,,,,,,,,,,,,,,,,,,,,,
28828091169,기가바이트 지포스 <b>RTX3060</b> Ti Gaming OC V2 D6 8GB 피씨디렉트 CR,1056000,,,,https://search.shopping.naver.com/catalog/28828091169,,,,,,,,,,,,,,,,,,,,,,,
