제품번호,제품명,최저가,최고가,브랜드,메이커,제품링크,메모리 종류,메모리,메모리 대역폭,단자,부가기능,보조전원,구성품,길이,높이,쿠다 프로세서,권장파워,소비전력,인터페이스,칩셋,냉각방식,쿨러,메모리클럭,부스트클럭,무상AS,부스트,LED제어시스템,속도,용도
27313935527,MSI 지포스 <b>RTX 3060</b> 게이밍 X D6 12GB 트윈프로져8,899000,,MSI,MSI,https://search.shopping.naver.com/catalog/27313935527,GDDR6,12GB,192bit,DisplayPort(3개),모니터4대연결,8+6핀,휨방지가이드(백플레이트),27.6cm,2.5슬롯,,,,,,,,,,,,,,
28656064557,MSI 지포스 <b>RTX 3060</b> Ti 게이밍 X D6 8GB 트윈프로져8 LHR,1039000,,MSI,MSI,https://search.shopping.naver.com/catalog/28656064557,GDDR6,8GB,256bit,DisplayPort(3개),모니터4대연결,8+6핀,휨방지가이드,27.8cm,2.5슬롯,4864개,600W,220W,,,,,,,,,,,
27299402526,이엠텍 지포스 <b>RTX 3060</b> Ti STORM X Dual OC D6 8GB,1059780,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/27299402526,GDDR6,8GB,256bit,HDMI(1개),5K해상도지원,8핀,,247mm,,4864개,,최대 200W,PCI-Express4.0(x16),지포스 RTX 3060 Ti,히트파이프 방열판(무소음),팬(2개),14000MHz,,,,,,
82765216462,컬러풀 기가바이트 <b>RTX 3060</b> / 3070 TI / 3050 / 3080 / 3080 Ti / 3090 그래픽카드,1050000,,컬러풀,컬러풀,https://search.shopping.naver.com/catalog/82765216462,,,,,,,,,,,,,,,,,,,,,,,
27715506529,기가바이트 <b>RTX 3060</b> EAGLE OC V2 D6 12GB 제이씨현,813900,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/27715506529,,,,,,,,,,,,,,,,,,,,,,,
28285178555,조텍 GAMING 지포스 <b>RTX 3060</b> TWIN Edge OC D6 12GB LHR,876850,,조텍,조텍,https://search.shopping.naver.com/catalog/28285178555,GDDR6,12GB,192bit,HDMI(1개),모니터4대연결,8핀,백플레이트,224.1mm,2슬롯,3584개,600W,170W,PCI-Express4.0(x16),지포스 RTX 3060,,아이스스톰,15000,1807MHz,3년,,,,
28724580559,기가바이트 지포스 <b>RTX 3060</b> Ti Gaming OC V2 D6 8GB 피씨디렉트,1029000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/28724580559,GDDR6,8GB,256bit,HDM1 2.1(2개),4K해상도지원,8핀,,28.2cm,,4864개,600W,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,팬(3개),14000MHz,1740MHz,,GPU부스트,RGB FUSION,,
28604551554,조텍 GAMING 지포스 <b>RTX 3060</b> Ti TWIN Edge OC LHR D6 8GB,1029920,,조텍,조텍,https://search.shopping.naver.com/catalog/28604551554,GDDR6,8GB,256bit,HDMI 2.1(1개),모니터4대연결,8핀,백플레이트,222.1mm,2슬롯,4864개,650,200,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,아이스스톰,,1695MHz,3년,,LED,,
28574260563,갤럭시 GALAX 지포스 <b>RTX 3060</b> EX WHITE OC V2 D6 12GB,928000,,GALAX,갤럭시,https://search.shopping.naver.com/catalog/28574260563,GDDR6,12GB,192bit,DisplayPort(3개),모니터4대연결,8핀,,285mm,,3584개,550W,170W,PCI-Express4.0(x16),지포스 RTX 3060,,팬(2개),15000MHz,1807MHz,,,,,
28772855555,기가바이트 지포스 <b>RTX 3060</b> ELITE V2 D6 12GB 피씨디렉트,856920,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/28772855555,GDDR6,12GB,192bit,DisplayPort(1개),4K해상도지원,8+6핀,,,,3584개,650W,,PCI-Express4.0(x16),지포스 RTX 3060,,0dB무소음모드,,,3년,,RGB FUSION,,
27300006524,이엠텍 지포스 <b>RTX 3060</b> STORM X Dual OC D6 12GB,955660,,이엠텍,이엠텍,https://search.shopping.naver.com/catalog/27300006524,GDDR6,12GB,192bit,DisplayPort(3개),모니터4대연결,8핀,휨방지가이드(백플레이트),24.5cm,2슬롯,,550W,180W,,,,,,,,,,,
29933126596,다채로운 GeForce <b>RTX 3060</b> Ti DUO LHR8G GDDR6 192 비트 게임 그래픽 카드,802546,,,,https://search.shopping.naver.com/catalog/29933126596,,,,,,,,,,,,,,,,,,,,,,,
27926350526,기가바이트 지포스 <b>RTX 3060</b> VISION OC V2 D6 12GB 제이씨현,896000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/27926350526,,12GB,192bit,HDM1 2.1(2개),모니터4대연결,8핀,,,,3584개,,,,,,0dB무소음모드,,,,,,,
28954255589,ASUS TUF Gaming 지포스 <b>RTX 3060</b> Ti O8G V2 OC D6 8GB,1090000,,ASUS,ASUS,https://search.shopping.naver.com/catalog/28954255589,GDDR6,8GB,256bit,HDMI출력,HDCP 2.3,8핀,단자보호캡,30.1cm,,4864개,750W,,PCI-Express4.0(x16),지포스 RTX 3060 Ti,히트파이프 방열판(무소음),팬(3개),,1785Mhz,,GPU부스트,AURA SYNC,,
28390733554,갤럭시 GALAX 지포스 <b>RTX 3060</b> Ti D6 8GB LHR,1136000,,GALAX,갤럭시,https://search.shopping.naver.com/catalog/28390733554,GDDR6,8GB,256bit,DisplayPort(3개),모니터4대연결,8핀,휨방지가이드(백플레이트),,,4864개,550W,200W,PCI-Express4.0(x16),지포스 RTX 3060 Ti,,,,,,,,,
27301583526,기가바이트 <b>RTX 3060</b> Gaming OC D6 12GB 피씨디렉트,858000,,기가바이트,기가바이트,https://search.shopping.naver.com/catalog/27301583526,,12GB,,DisplayPort(2개),,,,,,,,550W,,지포스 GTX 1050 Ti,,,,,,,,,
29973038620,갤럭시 GALAX 지포스 <b>RTX 3060</b> V2 D6 12GB,920990,,갤럭시,갤럭시,https://search.shopping.naver.com/catalog/29973038620,GDDR6,12GB,192bit,HDMI 2.1(1개),모니터4대연결,8핀,,24.5cm,,3584개,550W,170W,PCI-Express4.0(x16),지포스 RTX 3060,,팬(2개),15000MHz,1777MHz,,GPU부스트,,,
